algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,42992,795,0.545012,0.244992,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3185,218,0.704324,0.053960,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3196,217,0.704498,0.053700,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,254,216,0.588369,0.059636,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1725,216,0.645574,0.056309,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,39409,532,0.444801,0.182630,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1690,139,0.537441,0.040348,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1824,139,0.537441,0.040348,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,274,138,0.501981,0.041894,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1073,138,0.531624,0.040339,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,47596,671,0.901101,0.151844,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2353,174,0.997559,0.035481,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2380,174,0.997559,0.035481,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,304,172,0.936132,0.036218,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1388,172,0.943027,0.036081,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,33129,430,0.978486,0.090909,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,982,62,0.948215,0.012826,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1068,61,0.948411,0.012616,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,228,61,0.950324,0.012603,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,701,61,0.967320,0.012490,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,50134,722,0.785824,0.176961,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,4625,359,0.993173,0.074776,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,4693,359,0.993173,0.074776,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,339,360,0.794375,0.084408,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3180,360,0.922954,0.077855,post
